HE Provider,No of publications,Academic Year (start),Business and Community Servicies (Income),Continous Profesional Development and Continous Education (income),Collaborative Research (income),Intelectual Property Rights (income),Total comprehensive income for the year,Total staff
"City, University of London",1214,2017,4461,38285,1521,397,964940,25760
Anglia Ruskin University,693,2019,2354,97331,1022,0,963376,14320
The University of Lincoln,1040,2022,7556,58555,8822,1,961496,20240
Heriot-Watt University,1857,2018,8725,9920,29153,130,960416,15600
University of Plymouth,1302,2020,5502,5973,4016,579,957748,
The University of Law,5,2021,0,10624,0,0,956972,
Ulster University,1265,2020,13342,19115,20356,271,956860,
Leeds Beckett University,691,2022,15961,43628,1255,0,954060,21360
Newcastle University,4090,2015,37044,20367,57599,557,952406,47640
Oxford Brookes University,828,2022,9706,6508,2164,6384,952120,21720
Brunel University London,1726,2019,4606,12090,9568,45,948336,19660
Liverpool John Moores University,1561,2019,2057,5118,2775,0,947152,23360
The University of Aberdeen,2323,2020,18222,211635,13669,250,943756,26240
Heriot-Watt University,1860,2020,11558,13502,11790,446,940276,18200
The University of Central Lancashire,879,2018,14599,95789,7050,30,939352,25600
De Montfort University,951,2020,2281,49539,1162,0,938516,25800
Brunel University London,1614,2020,4404,9606,8009,75,936176,19080
The University of Aberdeen,2123,2019,17706,185599,15389,1100,935084,27120
University of South Wales,514,2022,4122,29467,11220,24,932124,23440
Liverpool School of Tropical Medicine,504,2017,28384,26303,0,100,929588,3760
Leeds Beckett University,642,2020,14884,41326,705,0,928104,20680
London School of Hygiene and Tropical Medicine,2863,2017,11713,27990,62568,1,926620,10800
The University of Greenwich,783,2020,4650,6299,316,175,924076,14920
Birmingham City University,454,2017,1767,82680,391,247,923956,25240
Leeds Beckett University,689,2021,18020,33003,721,1,923616,21200
The University of Salford,827,2020,4887,23462,7321,24,923576,18480
Heriot-Watt University,1904,2019,10024,11856,10368,405,922760,16260
Brunel University London,1673,2018,4614,11453,8095,10,919012,18400
Kingston University,624,2022,1449,13773,2712,0,918020,15060
The University of Aberdeen,2191,2018,17496,114509,17073,2204,913976,25840
Heriot-Watt University,1876,2017,8327,6554,3766,136,913212,15520
Liverpool School of Tropical Medicine,602,2019,28208,94179,117677,0,912276,4440
University of Plymouth,1457,2019,5929,8217,2076,360,911972,22040
The University of Sunderland,281,2022,967,20722,0,0,908736,19120
The University of Central Lancashire,926,2017,20427,87121,6821,110,907552,22700
De Montfort University,669,2017,3438,24995,679,15,899368,23840
The University of Essex,1285,2017,18545,3598,3772,3,887652,22000
Liverpool John Moores University,1477,2018,2166,6508,2715,0,886232,23580
Aston University,1367,2022,5653,5829,11009,48,883836,16520
Brunel University London,1663,2017,4683,10772,7158,10,882928,17880
Cranfield University,1307,2022,18037,66482,2166,857,881144,14160
The University of Aberdeen,2401,2017,16005,44661,18565,1192,877884,25980
Kingston University,617,2021,945,26538,2571,0,877240,14760
University of South Wales,472,2021,4166,27646,14108,26,875736,21780
Leeds Beckett University,733,2017,16962,11059,704,4,874132,23660
Ulster University,1187,2018,11796,21105,19364,654,873272,20900
Anglia Ruskin University,694,2018,2890,142756,1401,0,866388,14960
Oxford Brookes University,849,2021,10533,6474,2191,5318,866232,21320
The University of Westminster,554,2019,1242,19208,2085,0,865508,21160
Leeds Beckett University,653,2018,16094,16130,830,0,863852,23120
The University of Westminster,606,2020,951,13394,1828,0,863208,21480
The University of Brighton,859,2017,7141,87274,2732,4,861156,26480
The University of Lincoln,1082,2021,7945,64748,8081,17,860724,18680
Queen Mary University of London,4431,2016,29553,5572,14441,490,860246,36620
The University of Greenwich,735,2019,8354,4840,354,227,859676,13640
Liverpool John Moores University,1437,2017,2586,4742,2757,0,858784,23140
Ulster University,1195,2019,10967,20496,21394,118,858476,
Leeds Beckett University,623,2019,14779,18473,700,0,856852,21720
The University of Salford,849,2019,4315,22914,6420,95,855212,18560
Middlesex University,807,2019,1435,83722,752,22,853864,14240
Middlesex University,859,2018,2099,79289,1815,364,848700,14860
The University of Lincoln,956,2020,10049,59965,6699,0,847184,19000
The University of Brighton,830,2018,6672,83092,2362,0,845812,26440
The University of Westminster,617,2018,1263,32122,2146,0,841284,19800
Teesside University,585,2022,5596,226280,6708,0,840644,16580
Ulster University,1136,2017,10866,27121,18443,443,839828,19320
The University of Greenwich,735,2018,12236,5084,426,351,839448,17360
University of Derby,633,2022,1933,38937,905,8,838608,21040
The University of Salford,865,2018,4810,31045,7993,41,837444,18080
The University of Hull,1472,2022,8691,13470,2918,628,834024,17120
Anglia Ruskin University,657,2017,3025,206044,502,0,831748,15600
Oxford Brookes University,814,2020,7932,5236,2094,4563,828656,20680
Keele University,1478,2022,7179,34834,8932,17,825292,16400
The University of Brighton,842,2022,7940,72648,2831,0,824652,23060
Middlesex University,816,2020,2926,60335,846,30,823004,14320
The University of Westminster,633,2017,1321,27708,1401,15,820512,20440
The University of West London,275,2022,1496,13034,829,1545,818412,
Middlesex University,929,2017,2445,92190,2682,0,818264,15380
Oxford Brookes University,785,2018,4706,5575,1641,4063,813832,20560
Queen Mary University of London,4030,2015,28943,11471,13135,542,810986,34000
The University of Greenwich,752,2017,13024,4686,129,281,810840,17620
Arden University,37,2022,0,0,0,0,810088,
The University of Salford,964,2017,4734,44251,5073,86,808732,17520
London South Bank University,664,2022,3111,38022,1383,1,807704,
Middlesex University,714,2022,1788,58209,784,35,806216,12360
University of Derby,551,2020,1871,40470,1881,0,804844,21440
Aston University,1420,2021,6368,3678,11100,94,803156,15680
Cranfield University,1287,2021,14482,51296,1898,706,801252,13740
University of South Wales,479,2020,3663,31852,4227,269,800848,21300
The University of Sunderland,267,2021,1028,15346,46,0,799420,16920
Oxford Brookes University,782,2017,4080,10055,1350,3310,798308,21720
London South Bank University,579,2021,2192,42074,1793,3,796456,
Kingston University,679,2019,519,20226,2439,2,796304,14320
University of South Wales,454,2018,3452,82116,3661,24,795776,22240
London South Bank University,537,2020,1323,54333,2758,3,795376,
University of South Wales,424,2019,3820,36201,4423,15,795328,21920
Oxford Brookes University,815,2019,4922,4359,2029,5350,794328,21040
The University of Exeter,3514,2016,17814,4500,30671,108,794112,36400
The University of Hull,1464,2021,7192,13619,3982,434,792600,15940
University of Derby,636,2021,2127,45957,1320,0,791652,20240
The University of Brighton,820,2019,6386,69214,2619,0,789484,25440
Liverpool School of Tropical Medicine,732,2021,27995,23515,82884,0,786608,4680
London Business School,131,2022,35,150174,0,72,781816,
The University of Hull,1287,2017,7090,7831,5519,657,777276,19240
University of Derby,547,2019,1662,31895,1665,0,775248,22960
The University of Brighton,823,2021,6501,70162,1853,8,774120,23780
Liverpool School of Tropical Medicine,644,2020,28791,96507,91100,0,773752,4480
The University of Hull,1302,2018,8241,8024,3371,211,773024,19680
University of Derby,447,2018,2119,38332,1169,0,769812,23040
Kingston University,741,2017,643,24040,4733,0,768872,15900
Middlesex University,820,2021,1801,73223,1031,66,768408,13400
The University of East London,378,2021,1780,18397,422,5,767896,13900
Kingston University,672,2018,690,19640,2627,1,766676,15280
London Business School,130,2021,37,135735,0,62,766180,
The University of Brighton,860,2020,5987,56380,2067,0,765912,23320
The University of Hull,1396,2019,7792,11002,4097,514,758724,17520
The University of Huddersfield,1152,2022,4775,8899,7305,74,755672,
Buckinghamshire New University,57,2022,620,12463,0,0,755388,
Kingston University,582,2020,514,26563,1830,4,755364,14440
The University of Wolverhampton,487,2017,3721,4929,2108,0,749352,20100
The University of Wolverhampton,483,2018,3132,2496,2232,0,746196,19920
The University of Hull,1387,2020,6859,11421,3694,452,746172,16040
Canterbury Christ Church University,359,2021,3441,49687,0,0,743336,14120
The University of Wolverhampton,522,2020,2827,5371,2865,0,742268,19280
The University of Exeter,3244,2015,16925,2978,26856,76,742232,33640
The University of Northampton,257,2022,780,8120,81,4,738616,12880
Bournemouth University,1091,2022,1440,19586,1752,11,738404,15520
Cranfield University,1190,2019,13989,45139,3242,605,738244,
University of South Wales,395,2017,1597,81713,2882,13,738088,22200
London South Bank University,522,2019,2039,34880,3012,8,737992,
Cranfield University,1272,2018,15488,61078,3014,635,732836,12220
University of Wales Trinity Saint David,145,2022,2295,46269,152,14,732464,13100
The University of Huddersfield,1200,2021,3409,10468,6702,59,731752,
Cranfield University,1284,2020,15099,40321,2900,437,730992,12880
The University of Wolverhampton,517,2019,3185,4656,3542,0,724760,20240
London South Bank University,434,2018,2919,46173,2282,4,724176,15680
University of Wales Trinity Saint David,115,2021,2268,52089,0,11,723480,11560
University of Durham,3240,2016,17106,11759,6603,123,722308,36040
The University of Wolverhampton,722,2021,4209,5166,2321,0,721720,17880
Teesside University,546,2021,4683,169611,3860,2,721012,14480
The University of Huddersfield,1191,2020,3394,13226,2467,4,717536,
Glasgow Caledonian University,597,2022,4756,10850,329,0,717400,13320
University of Derby,397,2017,2265,12294,855,0,713376,22680
Bangor University,999,2022,13276,111908,9039,221,712088,16700
The University of Bradford,797,2022,2562,13432,3409,209,708456,12280
Keele University,1470,2021,6774,26693,7501,26,707104,16080
The University of East London,385,2020,1229,17738,660,5,706428,12800
London School of Economics and Political Science,1852,2016,22971,118815,8534,2,706142,29480
The University of Wolverhampton,622,2022,2748,15502,1366,0,704640,
The University of Lincoln,826,2019,8453,50674,4347,103,697580,18080
University of Wales Trinity Saint David,90,2020,1945,55682,0,9,695484,10520
The University of Huddersfield,1215,2019,2943,5009,8230,1,693536,
The University of York,3162,2016,27078,23229,10805,1119,692562,31940
The University of Huddersfield,1024,2017,3472,5505,1961,16,691564,16280
The University of West London,254,2021,1946,11414,1357,1335,691492,
The University of Huddersfield,1144,2018,2669,4472,3757,19,690068,16560
Aston University,1229,2020,8324,3298,6973,107,689976,15520
The University of Reading,1966,2015,12056,40030,8275,62,689536,31640
Keele University,1340,2020,4979,35484,8753,12,683996,16160
London School of Economics and Political Science,1818,2015,21230,104515,6393,168,681272,28480
The University of Stirling,1024,2022,3194,32699,1193,37,678800,17960
Bournemouth University,939,2021,1527,23888,2361,0,678696,14480
The University of Sunderland,262,2020,967,9364,138,0,678008,15380
Queen's University Belfast,2942,2016,32413,22161,23453,8508,676698,29400
Buckinghamshire New University,57,2021,748,13356,0,0,676040,
Edinburgh Napier University,833,2022,2353,9585,2188,4,675376,15760
Keele University,1283,2018,5191,35403,8123,46,675376,16260
Cranfield University,1298,2017,13719,61795,3339,533,674948,12820
The University of Law,18,2022,0,10574,0,0,672492,
Staffordshire University,325,2022,5342,13466,264,0,672300,14680
London Business School,173,2018,549,129111,0,18,665712,6600
University of Durham,3038,2015,16537,5840,5388,58,663868,36040
Keele University,1184,2017,5116,32451,6167,147,663380,17080
The University of Lincoln,857,2018,8912,62521,3735,26,663204,17420
Coventry University,989,2016,8474,234536,27737,37,660804,32340
Aston University,1282,2019,5496,3701,9069,52,660780,15480
London Business School,139,2019,22,86166,0,42,659736,
Bangor University,963,2017,5450,58235,8067,98,659508,16480
Bournemouth University,902,2019,1790,22362,1593,8,657680,14840
Keele University,1208,2019,4902,30409,8817,10,653256,16100
Bangor University,958,2021,10965,74682,4328,104,652996,15880
The University of York,2910,2015,27035,27516,10439,1092,652662,31240
Bournemouth University,944,2020,1494,17319,2506,11,649960,14600
University of Bedfordshire,270,2020,2181,377881,2777,0,648824,9400
Bournemouth University,861,2018,1525,26186,1829,11,640752,14940
Bournemouth University,932,2017,1671,31060,1841,11,637964,15180
Teesside University,491,2020,4265,183135,2196,0,637484,14640
Queen's University Belfast,2854,2015,25995,22113,21898,7131,633076,29920
Aston University,1247,2018,5690,5907,9262,231,629788,14600
Aston University,1228,2017,6167,5976,8034,104,627148,13480
London Business School,173,2017,0,133924,0,20,626056,6320
The Manchester Metropolitan University,989,2016,4827,47888,4259,0,625302,36880
The University of East London,368,2019,851,16071,961,5,621100,13240
The University of Stirling,1064,2021,2887,31635,1163,31,621020,16360
Liverpool School of Tropical Medicine,662,2022,22097,6959,31775,0,619184,4600
Bangor University,955,2020,9181,42544,4508,85,613472,15840
Cardiff Metropolitan University,433,2022,4046,7625,3016,1,612936,14420
University of Bedfordshire,299,2022,3283,32819,3105,1,612592,9400
The University of Leicester,2757,2016,24543,80476,9718,745,610812,31280
The University of Sunderland,273,2019,667,14701,224,0,610444,15880
Coventry University,724,2015,7362,226722,19389,11,610234,30920
London Metropolitan University,249,2022,1497,24123,102,0,609332,7500
The University of Lincoln,789,2017,6732,61619,5151,0,609184,16520
Glasgow Caledonian University,599,2021,4258,11268,570,0,608932,12880
Canterbury Christ Church University,302,2020,3039,27586,0,0,608504,13960
Buckinghamshire New University,51,2020,384,7324,0,0,605832,
Teesside University,396,2019,4139,164787,1990,0,602200,15000
Staffordshire University,329,2021,5273,16082,80,0,601844,14080
Loughborough University,2059,2016,24275,8347,20907,1443,601628,29320
University of Wales Trinity Saint David,114,2019,2589,15557,55,172,597184,11000
The Manchester Metropolitan University,843,2015,3947,54061,3594,7,595952,35300
University of the Highlands and Islands,182,2020,4254,29769,9059,0,595504,2680
London Business School,109,2020,35,91830,0,52,595388,
Roehampton University,350,2022,1082,42054,0,0,594156,7240
Edinburgh Napier University,782,2021,1871,8560,1862,0,593236,14960
Swansea University,1575,2015,7071,20344,29964,44,592584,23600
The University of Leicester,2713,2015,23590,84858,8664,1289,592504,31680
The University of Strathclyde,2528,2016,24340,28420,43548,424,591730,28800
University of the Highlands and Islands,190,2022,3286,31584,8610,0,591448,2680
Bangor University,948,2019,8123,61412,4956,130,590784,16080
University of the Highlands and Islands,178,2019,4876,15776,9283,0,588552,2680
The University of Northampton,231,2021,626,2733,293,10,587856,12000
Bangor University,940,2018,6201,55725,7813,129,585520,16400
University of the Highlands and Islands,143,2018,4313,10229,9504,0,584888,2620
University of Bedfordshire,304,2021,2472,43123,2867,0,583324,9500
The University of West London,237,2020,1410,12658,978,1020,583240,
Bath Spa University,119,2022,1089,12101,263,170,583040,9840
Loughborough University,2117,2015,22809,6622,22227,1577,582714,28560
London South Bank University,426,2017,2363,52215,2940,4,581208,15760
The University of Bradford,803,2021,1650,15476,4090,219,580536,11480
Teesside University,339,2018,4807,165018,2201,0,580216,14240
The University of Reading,2009,2016,13503,44229,7768,74,577788,32400
University of Suffolk,205,2022,523,5301,31,0,577596,5020
Edge Hill University,579,2022,708,24498,709,2,575516,
The University of Sussex,2466,2016,18199,1716,1114,187,574502,24740
University of the Highlands and Islands,213,2021,6045,23897,8704,0,572236,2640
Roehampton University,508,2019,1242,40064,145,0,570040,8600
The University of East London,439,2018,1084,24960,421,0,566848,11920
Goldsmiths College,495,2022,5057,7452,1217,169,566104,16240
Teesside University,374,2017,5063,196292,1735,19,564716,14000
University of Bedfordshire,363,2019,2780,564869,2317,0,563420,9100
"University of the Arts, London",148,2016,1801,109781,968,196,562796,36800
"University of the Arts, London",109,2015,2461,103170,758,99,561780,29000
The University of Strathclyde,2391,2015,25357,27516,38041,500,561734,27600
Roehampton University,497,2018,1788,39313,104,0,559504,9160
Swansea University,1744,2016,6562,22589,22785,48,556306,25180
University of Chester,315,2022,7377,24524,278,0,553372,14240
The University of Sunderland,254,2018,1554,14504,381,0,552120,14960
Goldsmiths College,463,2021,3439,7230,1812,242,549760,16480
Cardiff Metropolitan University,342,2021,3106,18003,3250,0,548704,13000
The University of Bolton,217,2022,185,10312,60,1,545296,
University of Wales Trinity Saint David,104,2018,1290,11319,103,11,544652,12120
The University of East London,469,2017,825,23793,0,0,544336,12260
The University of Surrey,2142,2016,22952,12261,21851,642,543576,24540
The Nottingham Trent University,809,2016,6812,39239,1417,4,543536,31600
University of Chester,350,2021,8263,29099,415,1,543100,13640
Staffordshire University,297,2020,5353,12276,153,0,541848,12840
University of Suffolk,171,2021,223,9788,135,0,540892,4960
Roehampton University,494,2017,1179,5495,0,0,538544,12480
Glasgow Caledonian University,560,2020,3987,9461,423,0,538328,12480
The University of Lancaster,2873,2016,13314,11742,23083,105,537472,29220
Roehampton University,398,2020,1005,1831,167,0,537340,7840
Sheffield Hallam University,877,2016,6428,9750,4564,70,536214,34800
The University of East Anglia,2028,2016,15055,31875,11602,1605,534736,30360
The University of Lancaster,2399,2015,14959,16981,15341,237,534570,28200
The University of Bath,2108,2016,7144,48393,18089,204,533920,26960
Sheffield Hallam University,637,2015,6918,11404,4607,14,532920,35260
Edge Hill University,619,2021,1791,15466,478,0,531952,
Goldsmiths College,608,2018,1643,17071,1807,949,531144,15600
Aberystwyth University,586,2022,5225,36473,3591,201,531084,14880
Roehampton University,404,2021,1431,22439,0,0,528740,7720
University of Hertfordshire,856,2016,12101,22748,502,74,527498,25580
The University of Bath,1856,2015,7716,51103,13762,160,526396,26120
The University of Sunderland,211,2017,1131,15031,158,0,524860,12960
Edinburgh Napier University,664,2020,1563,7476,1552,0,524304,13580
Canterbury Christ Church University,315,2017,5493,7399,0,0,523496,14800
The University of Northampton,206,2020,775,3099,170,5,522768,10920
The University of Sussex,2099,2015,18045,3075,917,161,521332,23320
Goldsmiths College,513,2019,1590,11935,2111,223,520492,16900
Edge Hill University,566,2020,1323,13280,249,0,520400,15440
University of Wales Trinity Saint David,94,2017,586,13751,72,32,520124,12000
The University of Surrey,2064,2015,21531,15493,20872,513,518980,23060
Robert Gordon University,401,2022,1417,6988,2870,1,517456,12300
The Nottingham Trent University,689,2015,5357,34859,1982,4,517074,29400
"University of the West of England, Bristol",841,2015,2471,33718,4304,33,516616,28240
"University of the West of England, Bristol",922,2016,2301,38012,4477,24,514408,29100
University of Chester,340,2017,5570,22000,770,0,513744,13560
University of Hertfordshire,788,2015,13091,23918,833,38,513114,24240
Edinburgh Napier University,627,2019,1620,11472,1328,9,510464,13980
University of Chester,353,2018,5403,13248,492,0,509004,14420
The University of Northampton,233,2017,4492,7574,573,3,506828,11360
Goldsmiths College,441,2020,1745,9283,2197,158,505788,15920
University of Plymouth,1411,2016,6382,7846,1281,107,505604,23320
Edge Hill University,526,2017,1376,8819,0,0,504924,16280
Canterbury Christ Church University,333,2018,4729,16325,0,0,504312,13840
The University of Northampton,229,2019,644,5321,124,3,504140,11560
The University of Stirling,1011,2018,3465,39622,137,39,504004,18320
Goldsmiths College,606,2017,2259,18618,2884,750,503748,15000
The University of Northampton,224,2018,2632,5634,161,3,501676,11500
Glasgow Caledonian University,536,2019,5527,10502,362,0,501220,12400
The University of East Anglia,1939,2015,14832,34323,7754,1538,500150,29380
The University of Stirling,1085,2020,3023,21980,974,28,497912,14760
Glasgow Caledonian University,577,2018,5292,11625,169,0,497304,12240
Edge Hill University,553,2018,951,10516,0,0,495096,16500
Aberystwyth University,604,2021,2689,30014,4862,201,494092,14400
University for the Creative Arts,54,2022,105,0,0,0,492756,
Staffordshire University,267,2019,6414,7662,136,1,491100,12320
University of Chester,358,2020,6086,16836,262,0,490876,14120
London Metropolitan University,201,2021,1374,11702,150,0,490184,7160
Edinburgh Napier University,479,2018,1835,10614,1652,0,489972,14000
Cardiff Metropolitan University,292,2020,2609,15335,1854,0,489156,12000
The University of Dundee,1684,2016,19572,5853,6363,2440,488730,25400
University of the Highlands and Islands,123,2017,5889,21777,9493,0,487740,2280
The University of Stirling,1002,2019,3039,29849,698,56,485356,17580
The University of Bolton,107,2021,223,12391,84,1,485076,
The University of Stirling,1005,2017,3614,43317,52,26,484360,17020
The University of Bradford,748,2020,1730,12662,3076,207,483248,11380
Glasgow Caledonian University,557,2017,5215,10457,294,0,479284,12760
University of Chester,352,2019,4623,21964,472,6,479016,14360
University of Bedfordshire,314,2018,2813,389486,2044,0,478920,9160
Canterbury Christ Church University,264,2019,3199,27122,0,0,478752,14100
University of Plymouth,1362,2015,5902,7975,864,219,478374,23320
The University of Dundee,1792,2015,19410,9152,7645,1127,478256,25400
Edge Hill University,484,2019,613,11826,32,0,477184,16200
Staffordshire University,305,2018,5422,9348,250,0,476424,11600
Edinburgh Napier University,528,2017,1775,10123,2069,8,475748,13800
Aberystwyth University,553,2020,1812,35476,4747,225,475368,14640
Aberystwyth University,690,2017,2185,8059,2943,172,472196,15840
Birkbeck College,900,2020,735,34642,444,10,471180,14480
Solent University,122,2017,413,58702,635,5,470728,11440
Buckinghamshire New University,55,2019,776,7185,0,0,469064,
The University of Portsmouth,1086,2016,6374,44863,1658,115,467364,32320
The University of Law,3,2020,0,9320,0,0,467292,
Aberystwyth University,706,2018,3048,35011,4980,194,465128,15460
The University of West London,215,2019,1718,8637,793,1229,464068,
The University of St. Andrews,2334,2016,14498,2608,452,1438,459982,20920
The University of Aberdeen,2403,2015,18021,21173,18155,963,459924,27280
Staffordshire University,324,2017,5455,9576,68,0,459404,12780
Robert Gordon University,368,2021,1263,6110,1892,2,458964,11540
"City, University of London",1277,2016,4878,34226,5536,366,453402,25320
Solent University,128,2018,481,56293,330,659,452812,10340
Solent University,161,2020,380,43148,91,925,450540,8440
The University of Portsmouth,987,2015,6338,67037,1980,290,450466,31220
The University of Bradford,792,2019,1754,8264,2176,257,448072,11080
The University of Bolton,151,2020,92,4268,227,0,445956,
The University of Aberdeen,2536,2016,17418,31726,19907,830,444924,26760
Leeds Beckett University,479,2015,15278,16410,247,4,444236,24380
London Metropolitan University,188,2020,505,14616,120,0,443568,7060
The University of West London,185,2018,3078,9343,563,2076,443084,12160
Leeds Beckett University,609,2016,15647,15063,711,4,442856,24280
The University of St. Andrews,2148,2015,12463,2464,174,837,442772,20560
Heriot-Watt University,1699,2016,7383,8056,2506,149,442436,16000
The University of Essex,1112,2016,18843,3398,3399,2,441650,20320
Birkbeck College,853,2022,2080,19686,504,17,441136,13440
The University of Bradford,771,2017,2480,13264,2438,29,441080,13040
Heriot-Watt University,1577,2015,11318,7518,1130,266,439040,15300
The University of Bradford,720,2018,2296,15742,2918,315,436640,11720
Birkbeck College,1059,2017,386,41838,472,2,435936,14840
"City, University of London",1232,2015,5769,39810,6113,367,435032,23800
Birkbeck College,979,2019,883,38117,596,6,434828,14040
Birkbeck College,853,2021,1894,25074,483,6,432992,14100
University of Bedfordshire,352,2017,2411,20377,2368,0,430904,9800
Aberystwyth University,575,2019,2746,35116,4022,222,430136,14960
Cardiff Metropolitan University,254,2019,2914,15725,2088,0,428496,11740
Anglia Ruskin University,517,2016,16869,284171,1288,0,427988,15780
Cardiff Metropolitan University,255,2018,3158,12803,1908,0,427380,11140
Solent University,115,2022,589,50169,283,456,424980,7160
The University of West London,182,2017,2255,10778,160,2405,424204,11160
The University of Central Lancashire,962,2016,17898,97038,6047,107,423400,21440
Solent University,134,2019,284,38770,90,874,423232,9160
Birmingham City University,413,2016,1277,106033,429,458,422370,24760
Birkbeck College,982,2018,671,42946,581,16,421688,14960
The University of Central Lancashire,805,2015,11095,112767,4657,70,419254,22440
Kingston University,674,2015,593,25311,5134,0,418702,16560
Liverpool School of Tropical Medicine,468,2016,19281,80257,0,0,418370,3540
Liverpool John Moores University,1332,2016,3045,8806,3315,1,417220,22160
The University of Brighton,947,2016,7194,110191,2624,1,414806,27680
Cardiff Metropolitan University,258,2017,3310,21176,1226,0,414780,11040
Solent University,138,2021,365,48323,251,850,414456,7640
Robert Gordon University,366,2020,1353,14126,1784,2,412804,10840
SOAS University of London,418,2022,2625,72510,2268,298,411248,9140
The University of Westminster,667,2016,2991,44128,1950,0,410794,23160
The University of Westminster,518,2015,3252,51801,852,1,410204,21740
De Montfort University,648,2016,3349,22422,388,11,409746,22600
Liverpool John Moores University,1101,2015,3527,5744,2615,1,409736,21560
The University of Brighton,720,2015,6494,84761,3107,2,408488,27880
The University of Greenwich,669,2015,13328,5402,230,351,407632,17920
Anglia Ruskin University,456,2015,19682,394588,1295,0,407520,15080
Middlesex University,805,2016,2318,90251,2995,0,407296,15420
Ulster University,1075,2016,9564,26622,14117,588,406438,18940
Brunel University London,1634,2015,4054,12802,9082,12,403346,18460
Kingston University,748,2016,505,25225,4887,0,402604,17360
Royal College of Art,103,2022,2466,8175,3325,32,401620,6560
Birmingham City University,292,2015,1891,115702,200,294,401498,22320
Brunel University London,1603,2016,4843,7854,8690,46,401224,18460
