HE Provider,No of publications,Academic Year (start),Business and Community Servicies (Income),Continous Profesional Development and Continous Education (income),Collaborative Research (income),Intelectual Property Rights (income),Total comprehensive income for the year,Total staff
The University of Greenwich,632,2016,11361,5158,192,390,401098,17360
University for the Creative Arts,43,2021,66,0,0,0,399892,
Oxford Brookes University,684,2016,3356,24598,1164,3424,396212,20960
University of Worcester,240,2017,870,4988,364,0,395320,20740
Bath Spa University,123,2021,559,12931,0,139,395168,9480
The University of Essex,1016,2015,17384,3490,2827,4,395036,20200
The University of Hull,1372,2016,9403,13352,4682,525,394748,19320
SOAS University of London,494,2021,3625,71628,2890,459,392016,8100
The University of Salford,893,2016,4072,47029,3161,80,390280,17780
University of Suffolk,125,2020,134,7263,146,0,389804,4480
University of Worcester,244,2018,972,3114,453,0,387648,23580
Oxford Brookes University,625,2015,3134,25211,1647,2296,385278,20360
University of Worcester,214,2022,696,28160,401,0,384372,15940
The University of Salford,689,2015,5919,45205,2930,67,383942,16360
University of South Wales,343,2015,2395,74631,1060,43,381814,25940
London Metropolitan University,173,2019,1001,19128,111,0,380408,6980
Middlesex University,737,2015,1764,77223,2804,0,378472,15080
London Metropolitan University,200,2017,826,45923,38,0,377364,7700
University of Worcester,245,2019,507,37590,303,0,376312,22360
Ulster University,1083,2015,9271,28821,12165,631,375962,20520
University of Worcester,228,2020,469,32252,512,0,375612,16760
The University of Wolverhampton,391,2015,12710,60934,1853,2,374138,19300
Robert Gordon University,364,2017,1396,10688,1410,23,373532,12380
The University of Law,4,2019,0,8359,0,0,372924,
Robert Gordon University,314,2019,1118,11804,1560,1,371412,10880
The University of Hull,1300,2015,9242,19529,3867,538,369656,19880
SOAS University of London,555,2017,1673,91144,0,391,369316,10360
University of Worcester,247,2021,506,46718,455,0,368732,14560
University of South Wales,429,2016,2078,73721,1661,33,368336,23320
The University of Bolton,139,2019,38,4366,302,0,367932,
Robert Gordon University,323,2018,1173,11340,1564,7,367772,12240
The University of Wolverhampton,454,2016,9586,9955,1437,2,364394,19740
De Montfort University,536,2015,3637,36918,477,16,362854,21560
SOAS University of London,474,2018,2587,98578,2000,346,359068,10100
Royal College of Art,99,2021,1299,7071,3734,0,358012,4600
London School of Hygiene and Tropical Medicine,2723,2016,12025,24071,56079,1,356934,11420
SOAS University of London,391,2020,1922,78126,2469,202,356692,7720
SOAS University of London,455,2019,3081,89391,3191,340,356648,9420
York St John University,227,2022,545,2035,28,0,354208,7820
University of Gloucestershire,274,2022,3070,30046,393,0,352936,
Cranfield University,1108,2016,13030,35866,3758,512,352718,13020
Cranfield University,1076,2015,12602,37486,3673,474,352486,12480
London Metropolitan University,195,2018,1039,46389,68,0,350648,7100
The University of Winchester,261,2021,691,11226,0,0,345180,10040
The University of Bolton,146,2018,92,6424,242,0,344272,5220
The University of Winchester,410,2022,671,9024,82,0,342400,10580
University of Gloucestershire,210,2017,2072,6166,615,0,339868,10160
Buckinghamshire New University,72,2018,857,9679,24,0,338160,5680
The University of Winchester,255,2020,498,5804,0,0,337392,9560
Bath Spa University,168,2017,266,2071,526,300,335816,9920
London School of Hygiene and Tropical Medicine,2579,2015,10079,23725,47095,1,335598,10760
University of Gloucestershire,188,2018,2286,6679,714,0,335056,10120
Bath Spa University,144,2018,458,1834,459,494,333024,10240
The University of Huddersfield,881,2016,3215,3741,4120,14,330624,15960
Bath Spa University,151,2019,44,2668,410,311,329980,8780
University of Derby,334,2016,1993,13042,1400,0,329526,22480
The University of Huddersfield,715,2015,2847,4762,5397,17,325198,15600
Aston University,1108,2016,4227,8960,10875,65,324746,12860
University of Gloucestershire,242,2021,3424,20391,287,0,323968,
The University of Winchester,260,2019,439,4291,1,0,323624,9680
The University of Winchester,244,2018,528,6484,9,0,322100,9960
Bath Spa University,117,2020,402,11696,0,111,321816,9300
University of Gloucestershire,247,2020,2308,15741,241,0,321008,
The University of Winchester,231,2017,471,3510,0,0,315932,10120
University for the Creative Arts,23,2020,161,0,0,0,315052,
York St John University,187,2021,706,2772,6,0,311812,7680
Keele University,1078,2016,6650,38421,6692,61,311464,16660
University of Gloucestershire,200,2019,2475,8184,128,0,311336,
Bournemouth University,925,2016,1486,32710,1286,12,310260,14640
Royal College of Art,93,2020,667,5365,3032,0,306720,4280
University of Derby,307,2015,1598,11584,1429,0,304624,23320
London Business School,168,2015,0,126691,0,16,304268,6100
London Business School,170,2016,0,115007,0,19,304124,6240
Bournemouth University,681,2015,2283,29084,1984,62,300970,14760
Aston University,983,2015,3752,11668,8226,4,300642,12280
The University of Law,4,2018,,,,,299796,
Royal College of Art,88,2018,3385,6199,1451,3,299052,3720
Royal College of Art,93,2019,2574,2940,2166,0,299032,4000
Keele University,959,2015,6272,27443,6657,25,297152,16420
Falmouth University,34,2022,119,320,478,0,295612,
University of Cumbria,95,2022,613,110796,175,0,294592,9040
University College Birmingham,6,2022,311,944,0,0,292640,4680
London South Bank University,371,2016,2188,111346,2489,0,288958,15940
Bangor University,921,2015,6810,44587,4830,37,286884,17680
Bangor University,973,2016,6056,61833,6771,81,286760,17640
The University of Lincoln,626,2016,6308,64785,3979,0,286220,15840
York St John University,159,2020,594,2589,0,0,285920,7160
University of Suffolk,92,2019,191,7459,269,0,284216,4200
University for the Creative Arts,27,2019,49,939,0,0,282280,
University of Cumbria,102,2021,451,224995,104,0,281296,8360
York St John University,166,2018,513,6286,0,0,280304,6920
The University of Lincoln,501,2015,5827,66011,2789,0,277254,13720
London South Bank University,339,2015,2116,102607,1165,0,276356,12800
The University of East London,391,2015,1135,10992,0,0,276022,13840
York St John University,194,2019,470,4586,0,0,275300,7160
Teesside University,389,2016,6526,197899,1607,0,270112,14280
Canterbury Christ Church University,272,2015,3430,8229,0,0,269666,14360
Canterbury Christ Church University,322,2016,3188,6336,27,0,268108,15040
University for the Creative Arts,40,2018,33,2544,0,0,264700,6720
The University of East London,462,2016,1016,7903,0,0,264620,13640
The University of Chichester,114,2022,922,812,49,0,263836,
The University of Northampton,217,2016,4139,6954,199,5,263734,10580
Teesside University,325,2015,6835,255020,1794,0,260210,14400
Falmouth University,48,2018,112,154,775,0,259312,4200
The University of Northampton,234,2015,1996,8334,75,2,259086,10920
York St John University,152,2017,735,4903,0,0,257224,6320
Leeds Trinity University,93,2022,235,1844,0,13,256920,5280
The University of Sunderland,165,2015,794,8448,215,9,256576,15460
Edge Hill University,401,2015,2012,10444,0,0,256254,15760
The University of Chichester,110,2021,687,574,0,0,255148,
Edge Hill University,440,2016,1666,9718,0,0,254730,15840
Falmouth University,36,2021,141,52,413,0,252420,
The University of Sunderland,179,2016,1016,11988,45,9,250998,14000
University for the Creative Arts,21,2017,28,635,0,0,249708,6560
Aberystwyth University,702,2016,3690,9565,2101,203,249546,17700
University College Birmingham,6,2021,130,685,0,0,249200,4200
Falmouth University,40,2019,33,40,861,0,249120,
Staffordshire University,262,2016,8755,10378,132,2,248114,12760
The University of Bradford,617,2015,2376,17537,3912,100,248044,14380
Arden University,13,2021,0,0,0,0,247440,
University of Cumbria,85,2020,439,158653,42,1499,246736,8000
Aberystwyth University,699,2015,2323,15838,3662,156,246352,17200
Falmouth University,61,2017,36,769,875,0,246192,3940
Edinburgh Napier University,403,2016,2495,10405,1627,0,244964,13940
Royal College of Art,93,2017,1890,1572,1863,18,244320,3340
University of Chester,355,2016,3252,31788,412,1,242532,13520
Solent University,68,2015,661,135119,272,0,239658,12040
The University of Chichester,124,2020,498,440,0,0,239312,
University of Chester,296,2015,4578,32426,0,1,238826,14360
University of Wales Trinity Saint David,108,2016,638,11847,0,19,238680,12720
University of Cumbria,76,2018,520,47340,2,0,238300,8280
University of Cumbria,104,2017,565,28131,0,0,236532,8240
Roehampton University,439,2016,1002,5525,0,0,235566,11480
Solent University,112,2016,898,128575,312,0,235268,12120
Falmouth University,32,2020,21,43,607,0,235160,
The University of Stirling,1033,2016,3485,40993,427,12,234674,15960
Edinburgh Napier University,330,2015,2699,10413,1252,0,234300,13840
Liverpool Hope University,238,2022,406,6352,0,0,232972,
Glasgow Caledonian University,483,2015,4822,10160,377,0,232570,13120
Liverpool Hope University,216,2021,362,9722,0,0,232476,
Glasgow Caledonian University,544,2016,5587,13974,387,0,232322,13100
"St Mary's University, Twickenham",175,2022,2606,5226,0,18,230588,6880
Goldsmiths College,664,2016,1914,11719,2747,0,229572,13700
Buckinghamshire New University,115,2017,528,15598,557,0,229340,5760
Staffordshire University,233,2015,7484,8622,223,12,227854,13440
University of Bedfordshire,358,2015,2345,32775,1868,0,226830,10520
The University of Bradford,617,2016,2324,18958,3594,58,226816,13440
The University of Stirling,904,2015,3980,48509,1000,0,226508,16640
The University of Chichester,121,2017,1436,1180,0,0,225716,7900
University of Cumbria,83,2019,316,92886,0,0,225572,8080
University College Birmingham,10,2020,13,0,0,0,225524,4600
University of Bedfordshire,320,2016,2484,40776,2481,0,225074,9720
University of Suffolk,87,2018,429,7724,364,0,224564,3920
The University of Chichester,148,2018,1344,1150,0,0,222088,7360
University of the Highlands and Islands,116,2016,4941,27524,7381,0,220484,1800
Liverpool Hope University,227,2020,461,5174,0,3,220048,
The University of Chichester,121,2019,1486,838,0,0,219512,
Leeds Trinity University,53,2021,7,2593,0,22,218236,4320
Regent College London,44,2022,0,0,0,0,218012,
"St Mary's University, Twickenham",176,2021,2157,4340,0,58,217432,6960
Birkbeck College,1015,2016,477,50080,470,4,217190,14300
Birkbeck College,922,2015,199,746,231,1,216174,15020
London Metropolitan University,232,2015,1318,50246,179,0,213132,9620
University College Birmingham,5,2018,47,0,0,0,212816,5060
The University of Bolton,155,2017,88,6905,119,1,212508,5240
University College Birmingham,7,2019,71,0,0,0,211448,5020
University College Birmingham,5,2017,57,0,0,0,211332,4840
Roehampton University,314,2015,1057,2983,0,0,210982,9560
The Arts University Bournemouth,8,2022,843,1482,287,0,210640,5040
"St Mary's University, Twickenham",150,2017,2335,5739,0,82,210180,7280
Liverpool Hope University,226,2017,533,8890,0,0,210072,5780
"St Mary's University, Twickenham",139,2018,2465,5685,0,159,209448,6400
University of Wales Trinity Saint David,87,2015,556,14307,99,10,209300,11980
Liverpool Hope University,260,2018,522,6984,35,0,209192,5580
"St Mary's University, Twickenham",129,2020,990,4902,0,43,208320,6800
Hartpury University,53,2022,1513,1467,0,0,208116,3880
Goldsmiths College,517,2015,1893,14981,3088,1,207938,13100
University of the Highlands and Islands,75,2015,4888,27854,8752,1,207798,1820
Harper Adams University,154,2022,1742,4089,1912,357,207100,
"St Mary's University, Twickenham",131,2019,1075,4299,0,0,205108,6760
Glasgow School of Art,66,2019,1952,3266,214,0,204848,4120
"Queen Margaret University, Edinburgh",194,2022,940,9322,0,0,204468,4480
London Metropolitan University,275,2016,1067,48279,245,0,204156,8120
Liverpool Hope University,196,2019,407,7116,8,0,202684,
Glasgow School of Art,53,2018,1375,5939,201,0,202220,4240
Cardiff Metropolitan University,265,2016,3453,29054,859,0,199742,12280
Cardiff Metropolitan University,225,2015,2476,28439,2126,0,196520,11960
The Arts University Bournemouth,9,2021,895,1266,0,0,195280,4720
Robert Gordon University,284,2015,2110,13798,866,24,194826,12600
Hartpury University,75,2021,1590,1262,12,0,194004,3880
"Queen Margaret University, Edinburgh",206,2021,846,7970,0,0,193268,4200
The University of West London,147,2016,1384,5614,0,1821,191730,10480
Glasgow School of Art,50,2022,1377,2494,77,0,188440,4920
University of Worcester,219,2016,1601,5168,508,0,187976,17980
Robert Gordon University,285,2016,1803,12212,1401,9,187678,11880
University of Worcester,189,2015,1437,1896,433,0,183170,16680
Leeds Trinity University,75,2020,6,1821,0,13,182620,3960
Harper Adams University,154,2021,1988,4107,1280,365,181956,
Glasgow School of Art,48,2021,1044,1590,83,0,177340,4560
Harper Adams University,102,2018,1980,6980,1639,428,176740,4700
SOAS University of London,528,2016,1309,91796,55,321,176536,9640
"Queen Margaret University, Edinburgh",157,2020,657,6806,0,0,176124,3900
The University of West London,107,2015,1363,3540,18,0,174368,9880
SOAS University of London,468,2015,394,80465,0,294,173526,9680
The Arts University Bournemouth,4,2017,97,2508,0,0,172588,4440
The Arts University Bournemouth,13,2019,66,1886,9,0,172348,4600
Regent College London,50,2021,0,0,0,0,171544,
The Arts University Bournemouth,9,2018,180,1992,0,0,170644,4560
Hartpury University,68,2020,819,900,8,0,169504,3600
Harper Adams University,127,2020,1754,1778,1260,375,167608,
University of Gloucestershire,175,2016,1022,3680,686,0,166000,10400
Bath Spa University,149,2016,23,2103,1623,0,165582,9200
Harper Adams University,121,2019,1663,6215,1164,389,164808,
The Arts University Bournemouth,12,2020,84,60,23,0,164424,4360
Abertay University,155,2022,756,226,2634,0,163712,3680
Harper Adams University,114,2017,1731,6203,1568,509,162620,4640
Glasgow School of Art,58,2017,1614,6476,206,0,162320,4160
"Queen Margaret University, Edinburgh",130,2019,582,6362,0,0,161748,3680
University of Suffolk,102,2017,378,3871,80,0,160900,3540
Guildhall School of Music and Drama,7,2022,680,6306,0,1,160296,7000
Hartpury University,45,2018,1591,992,0,0,160256,3160
Hartpury University,37,2019,1141,941,4,0,159736,3440
Ravensbourne University London,1,2022,88,0,0,0,158716,3220
"Queen Margaret University, Edinburgh",158,2018,693,7210,0,1,158072,3880
Liverpool School of Tropical Medicine,485,2015,20097,41070,0,50,156740,3360
Glasgow School of Art,38,2015,2287,9490,145,0,154630,3580
Glasgow School of Art,61,2020,1555,1149,85,0,153440,4340
University of Gloucestershire,146,2015,663,3542,565,0,153374,10480
Abertay University,135,2021,692,312,6288,0,152708,3760
Bath Spa University,86,2015,237,289,1255,0,151162,8920
The University of Winchester,224,2016,417,5519,0,0,149984,9960
"Queen Margaret University, Edinburgh",170,2017,499,9872,0,2,148136,3920
Arden University,15,2020,0,0,0,0,147376,
Abertay University,156,2020,428,377,6993,0,146488,3760
Guildhall School of Music and Drama,8,2021,289,1882,0,0,145808,7480
Leeds Trinity University,73,2019,13,1342,0,13,145624,3400
Hartpury University,26,2017,1165,915,0,0,141624,
Abertay University,180,2019,457,18,2917,0,141172,3840
The University of Winchester,162,2015,350,7525,0,0,140758,9660
Royal College of Music,24,2017,508,4892,0,0,139656,3480
Abertay University,178,2018,280,174,1425,0,139056,4000
Courtauld Institute of Art,18,2020,35,3636,0,12,137912,
Royal College of Music,15,2022,529,7194,0,0,136296,
Abertay University,158,2017,266,1352,756,0,135540,4120
Royal Academy of Music,7,2017,39,40,0,9,135488,3420
Guildhall School of Music and Drama,19,2018,276,577,0,0,132976,7160
Royal College of Music,20,2021,527,5687,0,0,132448,
Guildhall School of Music and Drama,13,2017,236,412,0,0,131948,6640
Leeds Trinity University,93,2018,43,3249,0,23,131752,3560
Guildhall School of Music and Drama,3,2019,108,944,0,0,131172,7080
Leeds Trinity University,102,2017,35,4015,0,13,130848,3560
Buckinghamshire New University,80,2015,1917,19028,1,0,130766,6600
Royal Academy of Music,3,2021,168,110,0,1,130336,
Royal Academy of Music,5,2022,153,129,0,2,130100,
Courtauld Institute of Art,25,2019,33,2188,0,18,127568,
University of Cumbria,52,2015,261,39147,32,17,126026,8440
Royal College of Art,86,2016,2699,1186,2004,20,125786,3180
Royal College of Music,163,2018,427,4388,0,0,125680,3400
Norwich University of the Arts,5,2022,281,675,0,0,124560,
Buckinghamshire New University,87,2016,700,20545,365,0,123822,6440
University for the Creative Arts,20,2016,39,97,0,0,122858,6560
University of Cumbria,90,2016,568,29949,0,5,120666,9080
Royal Academy of Music,7,2020,14,0,0,1,120292,
Courtauld Institute of Art,34,2018,0,3704,0,14,119668,1120
York St John University,146,2016,545,4495,50,0,118562,6020
Courtauld Institute of Art,21,2022,303,3249,0,25,117900,
York St John University,100,2015,349,3673,206,0,117368,6340
Regent College London,53,2020,0,0,0,0,117344,
Royal Northern College of Music,11,2021,338,4871,755,0,116624,3760
University for the Creative Arts,22,2015,44,638,0,0,116342,6340
Royal College of Music,33,2019,214,5226,0,0,116064,
Royal College of Music,23,2020,55,5758,0,0,115460,
Norwich University of the Arts,4,2021,186,618,0,0,114856,
Ravensbourne University London,10,2020,103,852,0,0,113376,3320
The University of Chichester,110,2016,1282,1634,3,0,112548,7480
Ravensbourne University London,3,2018,193,427,45,0,110908,3040
Royal Conservatoire of Scotland,11,2022,80,4591,113,0,110600,4400
Ravensbourne University London,3,2021,139,0,0,0,110456,3120
Falmouth University,50,2016,45,781,565,0,110174,4180
Ravensbourne University London,6,2019,177,669,131,0,109952,3040
Ravensbourne University London,3,2017,331,295,118,0,107884,2720
Norwich University of the Arts,14,2020,90,493,87,0,106084,
The University of Chichester,93,2015,755,1950,76,0,105694,7120
Royal Northern College of Music,10,2022,738,14308,701,0,105128,3880
Royal Conservatoire of Scotland,13,2021,39,3776,126,0,104988,4200
"St Mary's University, Twickenham",106,2016,1925,5115,0,138,104656,7540
Royal Academy of Music,5,2019,76,0,0,5,104636,
University College Birmingham,4,2016,74,0,0,0,104066,5000
University College Birmingham,12,2015,40,0,0,0,103424,4740
Royal Academy of Music,5,2018,121,0,0,9,103156,3600
Courtauld Institute of Art,27,2021,197,3296,0,17,103108,
Leeds Arts University,15,2022,0,0,0,0,102928,
Liverpool Hope University,195,2015,309,7936,0,0,102646,5560
Liverpool Hope University,262,2016,351,10703,0,0,102614,5720
"St Mary's University, Twickenham",97,2015,1508,4711,0,0,101880,6720
Royal Conservatoire of Scotland,3,2020,114,2581,0,0,101724,4040
Royal Conservatoire of Scotland,8,2019,161,2676,0,0,101384,4160
Leeds Arts University,4,2021,0,0,0,0,100264,1400
Leeds Arts University,11,2020,0,0,0,0,100092,1500
The University of Bolton,155,2016,89,6652,186,1,99320,5200
Bishop Grosseteste University,41,2017,77,386,0,0,98980,2720
Falmouth University,33,2015,44,638,421,0,98698,4000
Guildhall School of Music and Drama,14,2020,206,1592,0,0,97836,7400
Norwich University of the Arts,13,2019,216,404,112,0,97240,
Royal Conservatoire of Scotland,15,2018,68,3618,0,0,97132,4220
Bishop Grosseteste University,27,2018,190,700,0,0,97124,2800
Royal Northern College of Music,15,2018,1165,663,437,3,96724,4000
Norwich University of the Arts,3,2018,296,697,83,0,96260,2840
The Royal Central School of Speech and Drama,23,2022,6,5564,237,0,96108,1560
Arden University,8,2019,0,0,0,0,95844,
Leeds Arts University,4,2019,0,0,0,0,95184,2360
Royal Conservatoire of Scotland,4,2017,92,3872,0,0,94672,4040
The University of Bolton,170,2015,98,7838,168,1,94658,5060
Courtauld Institute of Art,35,2017,0,3415,0,36,94152,1080
Royal Agricultural University,36,2017,154,1494,0,1,93984,1760
Royal College of Art,73,2015,2335,926,1976,14,92810,3180
Norwich University of the Arts,6,2017,218,562,97,0,92484,2800
Royal Northern College of Music,14,2017,972,1054,974,10,92208,3880
Bishop Grosseteste University,50,2020,207,0,0,0,90972,2640
Bishop Grosseteste University,55,2019,252,69,0,0,90608,2580
Royal Northern College of Music,18,2020,39,2437,655,3,90540,4040
Royal Northern College of Music,7,2019,661,627,141,3,90288,4080
The National Film and Television School,2,2022,731,5378,0,29,88984,
Bishop Grosseteste University,55,2021,242,0,0,0,87332,2800
Harper Adams University,98,2016,2452,7799,1521,542,85368,4300
Bishop Grosseteste University,56,2022,151,306,99,0,84992,2360
Royal Agricultural University,21,2018,186,1487,0,0,84172,1920
Leeds Arts University,7,2018,0,0,0,0,83336,2260
The Royal Central School of Speech and Drama,27,2021,30,5213,405,0,82212,1560
Glasgow School of Art,40,2016,2016,9941,163,0,81592,3760
The Arts University Bournemouth,8,2016,63,2552,0,0,81066,4200
Royal Agricultural University,49,2022,466,3571,278,263,81056,
The Royal Central School of Speech and Drama,31,2019,128,1866,507,0,79320,1480
The Royal Central School of Speech and Drama,22,2018,165,2456,476,0,78968,1440
"Queen Margaret University, Edinburgh",156,2016,1047,11110,106,2,78304,3740
Harper Adams University,72,2015,1786,7011,1820,588,78166,4320
University of Suffolk,41,2016,326,3602,0,0,76904,3520
The Royal Central School of Speech and Drama,39,2017,405,2492,179,0,76564,1340
University College of Estate Management,8,2022,36,1083,0,3,76144,
Royal Agricultural University,45,2021,522,3648,40,327,76056,
The Arts University Bournemouth,4,2015,70,2870,0,0,75540,4000
The Royal Central School of Speech and Drama,48,2020,61,3173,914,0,75332,1440
University of Suffolk,36,2015,252,4589,0,0,74768,3440
Leeds Arts University,6,2017,0,0,0,0,74284,2120
"Queen Margaret University, Edinburgh",138,2015,432,9717,197,5,73240,3800
Royal College of Music,20,2016,518,3928,0,0,71862,3360
Royal Agricultural University,32,2019,301,1079,2,1,71144,
Abertay University,167,2016,259,1930,797,0,69342,4140
Abertay University,158,2015,359,1469,716,0,68600,4340
Royal Agricultural University,44,2020,521,2207,0,458,67868,
Leeds Trinity University,69,2016,31,3958,0,19,65316,3720
Leeds Conservatoire,3,2022,73,0,0,0,65228,2400
University College of Estate Management,7,2020,0,1945,28,2,64980,
Arden University,3,2018,,,,,64468,
Guildhall School of Music and Drama,18,2016,185,171,46,0,63856,6320
University College of Estate Management,1,2019,0,1221,87,1,62428,
Leeds Conservatoire,4,2021,40,0,0,0,62200,2840
Leeds Trinity University,38,2015,45,6452,0,18,61934,3440
The National Film and Television School,2,2017,816,6274,0,15,60932,900
The National Film and Television School,1,2019,278,1900,0,22,60784,
University College of Estate Management,3,2018,,,,,58344,
University College of Estate Management,5,2017,,,,,56360,
Stranmillis University College,9,2022,272,88,0,0,55452,
Royal Academy of Music,5,2015,12,0,0,9,54506,3260
Regent College London,33,2019,,,,,54224,
Leeds Conservatoire,1,2019,20,0,0,0,52952,2900
The Liverpool Institute for Performing Arts,1,2019,214,0,0,0,52692,
The Liverpool Institute for Performing Arts,2,2022,23,0,0,0,52524,
Stranmillis University College,14,2021,192,198,0,0,52044,
Ravensbourne University London,5,2016,302,341,112,0,51878,2800
Guildhall School of Music and Drama,3,2015,131,190,106,0,51802,5840
The Liverpool Institute for Performing Arts,1,2021,229,0,0,0,51432,
Ravensbourne University London,6,2015,188,143,19,0,50546,2320
Leeds Conservatoire,1,2017,,,,,50216,
Leeds Conservatoire,1,2018,33,0,0,0,49264,2640
Royal Academy of Music,6,2016,26,0,0,7,49046,3360
Stranmillis University College,11,2018,45,124,0,0,48852,1480
Royal College of Music,7,2015,482,4279,0,0,48838,3280
Stranmillis University College,12,2020,61,220,0,0,48824,
Stranmillis University College,7,2017,25,154,0,0,48104,1500
Stranmillis University College,13,2016,196,70,0,0,47566,1520
Stranmillis University College,10,2019,36,114,0,0,46172,
Royal Conservatoire of Scotland,9,2016,132,3359,0,0,45452,4360
Norwich University of the Arts,21,2016,156,79,6,0,45330,2640
Bishop Grosseteste University,19,2016,48,288,0,0,44228,2400
Royal Northern College of Music,6,2016,922,1009,116,14,43776,3940
Norwich University of the Arts,5,2015,303,32,8,0,41688,2360
Royal Northern College of Music,3,2015,780,1519,150,11,41630,4000
Royal Conservatoire of Scotland,7,2015,194,3570,0,0,41244,3680
Bishop Grosseteste University,24,2015,9,350,0,0,40872,2300
Regent College London,52,2018,,,,,40816,
St Mary's University College,6,2022,0,0,0,0,40560,1160
St Mary's University College,6,2021,0,0,0,0,39420,1180
Royal Agricultural University,35,2016,238,1336,0,0,39384,1800
Courtauld Institute of Art,26,2016,33,4371,0,30,38958,1100
The Royal Central School of Speech and Drama,21,2016,289,1728,114,0,38744,1360
Regent College London,57,2017,,,,,38316,
St Mary's University College,18,2020,0,0,0,0,38020,1180
St Mary's University College,6,2019,0,0,0,0,37192,1200
St Mary's University College,3,2018,0,0,0,0,36576,1240
Courtauld Institute of Art,24,2015,105,1091,0,25,36526,1020
Royal Agricultural University,24,2015,576,1586,0,2,36502,1780
St Mary's University College,2,2017,0,0,0,0,35748,1220
Leeds Arts University,2,2016,0,0,0,0,33616,2120
The Royal Central School of Speech and Drama,13,2015,6,2734,341,0,31826,1260
Leeds Arts University,3,2015,0,0,0,0,31450,2180
The National Film and Television School,1,2016,732,5508,0,40,30472,800
Stranmillis University College,12,2015,198,74,0,0,25598,1520
The University College of Osteopathy,15,2018,137,1928,0,0,22560,1140
The University College of Osteopathy,23,2022,74,1289,0,0,22428,
The University College of Osteopathy,27,2021,84,1630,0,0,22180,
The University College of Osteopathy,14,2017,0,1938,0,0,21868,1140
The Metanoia Institute,19,2021,0,0,142,0,21688,
The University College of Osteopathy,19,2020,31,1486,0,0,20748,
The Metanoia Institute,18,2022,0,0,169,0,20728,
The Liverpool Institute for Performing Arts,1,2016,199,0,0,0,20520,1420
The University College of Osteopathy,8,2019,54,1730,0,0,20184,
The Liverpool Institute for Performing Arts,1,2015,52,0,0,0,20156,1320
The Metanoia Institute,19,2020,0,0,117,0,17848,
St Mary's University College,7,2015,0,0,0,0,17780,1240
St Mary's University College,3,2016,0,0,0,0,17530,1200
The Metanoia Institute,20,2019,129,0,129,0,15152,
The Metanoia Institute,17,2018,,,,,13940,
Amity Global Education,2828,2019,0,0,0,0,13756,
The University College of Osteopathy,6,2016,2,1899,0,0,10940,1120
The University College of Osteopathy,11,2015,,,,,10912,
Amity Global Education,4516,2022,0,0,0,0,9476,
Amity Global Education,2221,2018,,,,,6096,
Amity Global Education,1826,2017,,,,,6028,
Amity Global Education,3960,2021,0,0,0,0,5124,
Amity Global Education,3150,2020,0,0,0,0,4528,
