HE Provider,Academic year start,Value(£000s)
AA School of Architecture,2017,0
AA School of Architecture,2018,0
AA School of Architecture,2019,0
AA School of Architecture,2020,0
AA School of Architecture,2021,0
AA School of Architecture,2022,0
Abertay University,2015,909
Abertay University,2016,1158
Abertay University,2017,1316
Abertay University,2018,2061
Abertay University,2020,2307
Abertay University,2019,2394
Abertay University,2022,2743
Abertay University,2021,2808
Aberystwyth University,2019,15566
Aberystwyth University,2021,17449
Aberystwyth University,2018,18517
Aberystwyth University,2017,20004
Aberystwyth University,2020,20217
Aberystwyth University,2015,21712
Aberystwyth University,2016,21836
Aberystwyth University,2022,22230
Academy of Live and Recorded Arts,2018,0
Academy of Live and Recorded Arts,2019,0
Academy of Live and Recorded Arts,2020,0
Academy of Live Technology Ltd,2019,38
Academy of Live Technology Ltd,2020,68
Academy of Live Technology Ltd,2022,176
Academy of Live Technology Ltd,2023,187
Academy of Live Technology Ltd,2021,190
ACM Guildford Limited,2018,0
ACM Guildford Limited,2019,0
ACM Guildford Limited,2020,0
ACM Guildford Limited,2021,0
ACM Guildford Limited,2022,0
ACM Guildford Limited,2023,0
AECC University College,2021,6
AECC University College,2017,12
AECC University College,2019,13
AECC University College,2020,32
AECC University College,2018,37
AECC University College,2016,44
AECC University College,2022,84
All Nations Christian College,2018,0
All Nations Christian College,2019,0
All Nations Christian College,2020,0
All Nations Christian College,2021,0
All Nations Christian College,2022,0
All Nations Christian College,2023,0
Amity Global Education,2017,0
Amity Global Education,2018,0
Amity Global Education,2019,0
Amity Global Education,2020,0
Amity Global Education,2021,0
Amity Global Education,2022,0
Amity Global Education,2023,0
Anglia Ruskin University,2020,3691
Anglia Ruskin University,2015,4115
Anglia Ruskin University,2019,4464
Anglia Ruskin University,2017,5205
Anglia Ruskin University,2021,5880
Anglia Ruskin University,2018,6347
Anglia Ruskin University,2016,6542
Anglia Ruskin University,2022,7304
Anglo Skills College,2021,0
Anglo Skills College,2022,0
Anglo Skills College,2023,0
Apex College,2018,0
Apex College,2019,0
Apex College,2020,0
Apex College,2021,0
Apex College,2022,0
Apex College,2023,0
Applied Business Academy Limited,2019,0
Applied Business Academy Limited,2020,0
Applied Business Academy Limited,2021,0
Applied Business Academy Limited,2022,0
Arden University,2018,0
Arden University,2019,0
Arden University,2020,0
Arden University,2021,0
Arden University,2022,0
Arden University,2022,27
Arts Educational Schools,2018,0
Arts Educational Schools,2019,0
Arts Educational Schools,2020,0
Arts Educational Schools,2021,0
Arts Educational Schools,2022,0
Arts Educational Schools,2023,0
Arts University Plymouth,2015,0
Arts University Plymouth,2016,0
Arts University Plymouth,2017,0
Arts University Plymouth,2018,0
Arts University Plymouth,2019,0
Arts University Plymouth,2020,0
Arts University Plymouth,2021,0
Arts University Plymouth,2022,0
Aston University,2016,14743
Aston University,2015,14945
Aston University,2017,16688
Aston University,2019,17087
Aston University,2018,17101
Aston University,2021,19256
Aston University,2022,20547
Aston University,2020,21141
Bangor University,2015,16929
Bangor University,2016,18286
Bangor University,2018,21098
Bangor University,2017,21130
Bangor University,2019,21551
Bangor University,2020,23385
Bangor University,2021,29544
Bangor University,2022,33069
Bath Spa University,2015,1404
Bath Spa University,2016,1493
Bath Spa University,2022,1501
Bath Spa University,2020,1535
Bath Spa University,2021,1663
Bath Spa University,2017,1690
Bath Spa University,2018,1975
Bath Spa University,2019,2059
BCNO Limited,2018,0
BCNO Limited,2019,0
BCNO Limited,2020,0
BCNO Limited,2021,0
BCNO Limited,2022,0
BCNO Limited,2023,0
BIMM University,2018,0
BIMM University,2019,0
BIMM University,2020,0
BIMM University,2021,0
BIMM University,2022,0
BIMM University,2023,0
Bird College,2021,0
Bird College,2022,0
Birkbeck College,2020,8287
Birkbeck College,2019,8411
Birkbeck College,2018,8839
Birkbeck College,2016,9091
Birkbeck College,2021,9333
Birkbeck College,2022,9474
Birkbeck College,2015,10082
Birkbeck College,2017,12941
Birmingham Christian College,2022,0
Birmingham Christian College,2023,0
Birmingham City University,2016,1686
Birmingham City University,2015,1997
Birmingham City University,2019,2234
Birmingham City University,2018,2489
Birmingham City University,2017,2665
Birmingham City University,2022,3483
Birmingham City University,2020,3686
Birmingham City University,2021,4368
Birmingham Newman University,2020,3
Birmingham Newman University,2019,4
Birmingham Newman University,2018,17
Birmingham Newman University,2022,31
Birmingham Newman University,2021,116
Birmingham Newman University,2017,541
Birmingham Newman University,2015,623
Birmingham Newman University,2016,1004
Bishop Grosseteste University,2015,9
Bishop Grosseteste University,2016,63
Bishop Grosseteste University,2022,74
Bishop Grosseteste University,2017,107
Bishop Grosseteste University,2021,175
Bishop Grosseteste University,2018,226
Bishop Grosseteste University,2020,241
Bishop Grosseteste University,2019,268
Bloomsbury Institute,2018,0
Bloomsbury Institute,2019,0
Bloomsbury Institute,2020,0
Bloomsbury Institute,2021,0
Bloomsbury Institute,2022,0
Bournemouth University,2016,4040
Bournemouth University,2020,4539
Bournemouth University,2015,4647
Bournemouth University,2017,5041
Bournemouth University,2021,5144
Bournemouth University,2019,5440
Bournemouth University,2022,5487
Bournemouth University,2018,6575
BPP University,2018,0
BPP University,2019,0
BPP University,2020,0
BPP University,2021,0
BPP University,2022,0
BPP University,2023,0
Bristol Baptist College,2017,0
Bristol Baptist College,2018,0
Bristol Baptist College,2019,0
Bristol Baptist College,2020,0
Bristol Baptist College,2021,0
Bristol Baptist College,2022,0
Brit College,2018,0
Brit College,2019,0
Brit College,2020,0
Brit College,2021,0
Brit College,2022,0
British Academy of Jewellery Limited,2018,0
British Academy of Jewellery Limited,2019,0
British Academy of Jewellery Limited,2020,0
British Academy of Jewellery Limited,2021,0
British Academy of Jewellery Limited,2022,0
Brunel University London,2022,18719
Brunel University London,2016,20858
Brunel University London,2020,20916
Brunel University London,2015,21905
Brunel University London,2021,22372
Brunel University London,2017,22695
Brunel University London,2018,22962
Brunel University London,2019,26111
Buckinghamshire New University,2020,283
Buckinghamshire New University,2022,308
Buckinghamshire New University,2021,414
Buckinghamshire New University,2019,495
Buckinghamshire New University,2018,589
Buckinghamshire New University,2016,620
Buckinghamshire New University,2015,718
Buckinghamshire New University,2017,727
Cambridge Arts and Sciences Limited,2018,0
Cambridge Arts and Sciences Limited,2019,0
Cambridge Arts and Sciences Limited,2020,0
Cambridge Arts and Sciences Limited,2021,0
Cambridge Arts and Sciences Limited,2022,0
Cambridge Arts and Sciences Limited,2023,0
Canterbury Christ Church University,2016,547
Canterbury Christ Church University,2015,1444
Canterbury Christ Church University,2018,1554
Canterbury Christ Church University,2019,1644
Canterbury Christ Church University,2022,1715
Canterbury Christ Church University,2021,1939
Canterbury Christ Church University,2020,2093
Canterbury Christ Church University,2017,2148
Cardiff Metropolitan University,2016,1790
Cardiff Metropolitan University,2017,1991
Cardiff Metropolitan University,2019,2272
Cardiff Metropolitan University,2020,2429
Cardiff Metropolitan University,2018,2631
Cardiff Metropolitan University,2015,2783
Cardiff Metropolitan University,2021,3752
Cardiff Metropolitan University,2022,4279
Cardiff University,2016,101232
Cardiff University,2017,105907
Cardiff University,2020,112648
Cardiff University,2019,112773
Cardiff University,2015,113623
Cardiff University,2018,116048
Cardiff University,2021,125427
Cardiff University,2022,133624
Caspian School of Academics,2021,0
Caspian School of Academics,2022,0
CEG UFP Limited,2019,0
CEG UFP Limited,2020,0
CEG UFP Limited,2021,0
CEG UFP Limited,2022,0
CEG UFP Limited,2023,0
Central Film School London,2018,0
Central Film School London,2019,0
Central Film School London,2020,0
Central Film School London,2021,0
Central Film School London,2022,0
Central Film School London,2023,0
Central School of Ballet,2020,0
Central School of Ballet,2021,0
Central School of Ballet,2022,0
Chicken Shed Theatre Company,2017,0
Chicken Shed Theatre Company,2018,0
Chicken Shed Theatre Company,2019,0
Chicken Shed Theatre Company,2020,0
Chicken Shed Theatre Company,2021,0
Chicken Shed Theatre Company,2022,0
Chicken Shed Theatre Company,2023,0
Christ the Redeemer College,2017,0
Christ the Redeemer College,2018,0
Christ the Redeemer College,2019,0
Christ the Redeemer College,2020,0
Christ the Redeemer College,2021,0
Christ the Redeemer College,2022,0
Christie's Education Limited,2018,0
Christie's Education Limited,2019,0
City and Guilds of London Art School,2018,0
City and Guilds of London Art School,2019,0
City and Guilds of London Art School,2020,0
City and Guilds of London Art School,2021,0
City and Guilds of London Art School,2022,0
City and Guilds of London Art School,2023,0
"City, University of London",2019,11144
"City, University of London",2020,11246
"City, University of London",2016,11640
"City, University of London",2015,11710
"City, University of London",2018,11716
"City, University of London",2017,11992
"City, University of London",2021,12866
"City, University of London",2022,13372
Cliff College,2018,0
Cliff College,2019,0
Cliff College,2020,0
Cliff College,2021,0
Cliff College,2022,10
Cliff College,2023,10
College of Legal Practice Limited,2019,0
College of Legal Practice Limited,2020,0
College of Legal Practice Limited,2021,0
College of Legal Practice Limited,2022,0
Commonwealth College of Excellence,2021,0
Commonwealth College of Excellence,2022,0
Conservatoire for Dance and Drama,2015,0
Conservatoire for Dance and Drama,2016,0
Conservatoire for Dance and Drama,2017,0
Conservatoire for Dance and Drama,2018,0
Conservatoire for Dance and Drama,2019,0
Conservatoire for Dance and Drama,2020,0
Court Theatre Training Company Ltd,2018,0
Court Theatre Training Company Ltd,2019,0
Court Theatre Training Company Ltd,2020,0
Court Theatre Training Company Ltd,2021,0
Court Theatre Training Company Ltd,2022,0
Court Theatre Training Company Ltd,2023,0
Courtauld Institute of Art,2022,1041
Courtauld Institute of Art,2021,1135
Courtauld Institute of Art,2019,1223
Courtauld Institute of Art,2018,1227
Courtauld Institute of Art,2017,1488
Courtauld Institute of Art,2015,1654
Courtauld Institute of Art,2016,1727
Courtauld Institute of Art,2020,3230
Coventry University,2015,9083
Coventry University,2017,9872
Coventry University,2018,11553
Coventry University,2019,14615
Coventry University,2021,15807
Coventry University,2016,16068
Coventry University,2022,17527
Coventry University,2020,17932
Cranfield University,2016,34420
Cranfield University,2017,36727
Cranfield University,2019,38370
Cranfield University,2015,39083
Cranfield University,2020,41769
Cranfield University,2018,42217
Cranfield University,2022,43325
Cranfield University,2021,44725
Dartington Hall Trust (The),2018,0
Dartington Hall Trust (The),2020,0
Dartington Hall Trust (The),2021,0
Dartington Hall Trust (The),2022,0
David Game College Ltd,2018,0
David Game College Ltd,2019,0
David Game College Ltd,2020,0
David Game College Ltd,2021,0
David Game College Ltd,2022,0
David Game College Ltd,2023,0
De Montfort University,2015,3368
De Montfort University,2020,3653
De Montfort University,2018,3953
De Montfort University,2019,3956
De Montfort University,2016,4025
De Montfort University,2017,4118
De Montfort University,2021,4961
De Montfort University,2022,5397
Dyson Technical Training Limited,2019,0
Dyson Technical Training Limited,2020,0
Dyson Technical Training Limited,2021,0
Dyson Technical Training Limited,2022,0
Dyson Technical Training Limited,2023,0
Edge Hill University,2016,452
Edge Hill University,2015,496
Edge Hill University,2017,917
Edge Hill University,2020,1265
Edge Hill University,2018,1435
Edge Hill University,2019,1506
Edge Hill University,2021,1666
Edge Hill University,2022,2157
Edinburgh Napier University,2019,3172
Edinburgh Napier University,2018,3349
Edinburgh Napier University,2020,3655
Edinburgh Napier University,2017,4218
Edinburgh Napier University,2015,4607
Edinburgh Napier University,2016,4693
Edinburgh Napier University,2021,5101
Edinburgh Napier University,2022,5544
Empire College London Limited,2017,0
Empire College London Limited,2018,0
Empire College London Limited,2019,0
Empire College London Limited,2020,0
Empire College London Limited,2021,0
Empire College London Limited,2022,0
Empire College London Limited,2023,0
Escape Studios,2018,0
Escape Studios,2019,0
Escape Studios,2022,0
Escape Studios,2020,42
Escape Studios,2022,70
Escape Studios,2021,162
ESCP Europe Business School,2023,53
ESCP Europe Business School,2022,113
ESCP Europe Business School,2021,145
ESCP Europe Business School,2020,173
ESCP Europe Business School,2018,210
ESCP Europe Business School,2019,310
European School of Osteopathy,2018,0
European School of Osteopathy,2019,0
European School of Osteopathy,2020,0
Fairfield School of Business Ltd,2021,0
Fairfield School of Business Ltd,2022,0
Falmouth University,2021,449
Falmouth University,2015,482
Falmouth University,2020,580
Falmouth University,2019,746
Falmouth University,2022,758
Falmouth University,2016,760
Falmouth University,2017,918
Falmouth University,2018,1026
Futureworks,2018,0
Futureworks,2019,0
Futureworks,2020,0
Futureworks,2021,0
Futureworks,2022,0
Futureworks,2023,0
Glasgow Caledonian University,2020,5401
Glasgow Caledonian University,2018,5765
Glasgow Caledonian University,2021,5801
Glasgow Caledonian University,2019,5818
Glasgow Caledonian University,2015,5914
Glasgow Caledonian University,2017,5972
Glasgow Caledonian University,2016,6034
Glasgow Caledonian University,2022,6486
Glasgow School of Art,2021,1309
Glasgow School of Art,2022,1877
Glasgow School of Art,2020,2010
Glasgow School of Art,2019,2742
Glasgow School of Art,2017,2793
Glasgow School of Art,2018,3217
Glasgow School of Art,2016,3916
Glasgow School of Art,2015,4069
Global Banking School Limited,2017,0
Global Banking School Limited,2018,0
Global Banking School Limited,2019,0
Global Banking School Limited,2020,0
Global Banking School Limited,2021,0
Global Banking School Limited,2022,0
Global Banking School Limited,2023,0
Goldsmiths College,2022,3477
Goldsmiths College,2017,4089
Goldsmiths College,2021,4472
Goldsmiths College,2016,4603
Goldsmiths College,2019,4837
Goldsmiths College,2015,5227
Goldsmiths College,2020,6014
Goldsmiths College,2018,6126
Guildhall School of Music and Drama,2023,202
Guildhall School of Music and Drama,2016,233
Guildhall School of Music and Drama,2015,238
Guildhall School of Music and Drama,2020,264
Guildhall School of Music and Drama,2019,364
Guildhall School of Music and Drama,2018,409
Guildhall School of Music and Drama,2017,410
Guildhall School of Music and Drama,2021,680
Guildhall School of Music and Drama,2022,1258
Harper Adams University,2019,2321
Harper Adams University,2020,2579
Harper Adams University,2017,2746
Harper Adams University,2021,2947
Harper Adams University,2015,3056
Harper Adams University,2016,3134
Harper Adams University,2018,3172
Harper Adams University,2022,3279
Hartpury University,2017,0
Hartpury University,2018,0
Hartpury University,2019,0
Hartpury University,2020,0
Hartpury University,2022,160
Hartpury University,2021,231
Heriot-Watt University,2016,27107
Heriot-Watt University,2019,28758
Heriot-Watt University,2017,31424
Heriot-Watt University,2020,32934
Heriot-Watt University,2022,33067
Heriot-Watt University,2015,33209
Heriot-Watt University,2018,33582
Heriot-Watt University,2021,39298
Heythrop College,2016,12
Heythrop College,2015,24
Heythrop College,2017,33
Higher Rhythm Limited,2021,0
Higher Rhythm Limited,2022,0
Higher Rhythm Limited,2023,0
Hult International Business School Ltd,2018,0
Hult International Business School Ltd,2019,0
Hult International Business School Ltd,2020,0
Hult International Business School Ltd,2021,0
Hult International Business School Ltd,2022,0
ICON College of Technology and Management,2018,0
ICON College of Technology and Management,2019,0
ICON College of Technology and Management,2020,0
ICON College of Technology and Management,2021,0
ICON College of Technology and Management,2022,0
ICON College of Technology and Management,2023,0
"Imperial College of Science, Technology and Medicine",2019,347692
"Imperial College of Science, Technology and Medicine",2015,350623
"Imperial College of Science, Technology and Medicine",2016,361262
"Imperial College of Science, Technology and Medicine",2020,363046
"Imperial College of Science, Technology and Medicine",2017,364229
"Imperial College of Science, Technology and Medicine",2018,368020
"Imperial College of Science, Technology and Medicine",2021,368432
"Imperial College of Science, Technology and Medicine",2022,383080
Inchbald School of Design Limited,2019,0
Inchbald School of Design Limited,2020,0
Inchbald School of Design Limited,2021,0
Inchbald School of Design Limited,2022,0
Institute of Art - London Limited,2018,0
Institute of Art - London Limited,2019,0
Institute of Art - London Limited,2020,0
Institute of Art - London Limited,2021,0
Institute of Art - London Limited,2022,0
Institute of Art - London Limited,2023,0
Institute of Contemporary Music Performance,2017,0
Institute of Contemporary Music Performance,2018,0
Institute of Contemporary Music Performance,2019,0
Institute of Contemporary Music Performance,2020,0
Institute of Contemporary Music Performance,2021,0
Institute of Contemporary Music Performance,2023,0
International Business College Manchester Limited,2021,0
International Business College Manchester Limited,2022,0
International College of Musical Theatre,2022,0
International College of Musical Theatre,2023,0
INTO University Partnerships Limited,2018,0
INTO University Partnerships Limited,2019,0
INTO University Partnerships Limited,2020,0
INTO University Partnerships Limited,2021,0
INTO University Partnerships Limited,2022,0
Istituto Marangoni Limited,2018,0
Istituto Marangoni Limited,2019,0
Istituto Marangoni Limited,2020,0
Istituto Marangoni Limited,2021,0
Istituto Marangoni Limited,2022,0
JSA Education Group Ltd.,2018,0
JSA Education Group Ltd.,2019,0
JSA Education Group Ltd.,2020,0
JSA Education Group Ltd.,2021,0
JSA Education Group Ltd.,2022,0
Kaplan International Colleges U.K. Limited,2019,0
Kaplan International Colleges U.K. Limited,2020,0
Kaplan International Colleges U.K. Limited,2021,0
Kaplan International Colleges U.K. Limited,2022,0
Kaplan International Colleges U.K. Limited,2023,0
Kaplan Open Learning (Essex) Limited,2018,0
Kaplan Open Learning (Essex) Limited,2019,0
Kaplan Open Learning (Essex) Limited,2020,0
Kaplan Open Learning (Essex) Limited,2021,0
Kaplan Open Learning (Essex) Limited,2022,0
Kaplan Open Learning (Essex) Limited,2023,0
Keele University,2021,14933
Keele University,2019,15042
Keele University,2015,17067
Keele University,2018,17079
Keele University,2017,17777
Keele University,2022,18380
Keele University,2016,18511
Keele University,2020,24569
King's College London,2020,187893
King's College London,2016,192563
King's College London,2015,193182
King's College London,2017,194417
King's College London,2018,194681
King's College London,2019,200544
King's College London,2021,221164
King's College London,2022,236276
Kingston University,2022,2304
Kingston University,2020,2486
Kingston University,2021,2730
Kingston University,2019,3017
Kingston University,2018,3736
Kingston University,2015,3984
Kingston University,2016,4021
Kingston University,2017,4425
KLC School of Design,2018,0
KLC School of Design,2019,0
KLC School of Design,2020,0
LAMDA Limited,2017,0
LAMDA Limited,2018,0
LAMDA Limited,2019,0
LAMDA Limited,2020,0
LAMDA Limited,2021,0
LAMDA Limited,2022,0
Le Cordon Bleu Limited,2018,0
Le Cordon Bleu Limited,2019,0
Le Cordon Bleu Limited,2020,0
Le Cordon Bleu Limited,2021,0
Le Cordon Bleu Limited,2022,0
Le Cordon Bleu Limited,2023,0
Leeds Arts University,2015,0
Leeds Arts University,2016,0
Leeds Arts University,2017,0
Leeds Arts University,2018,0
Leeds Arts University,2019,0
Leeds Arts University,2020,0
Leeds Arts University,2021,0
Leeds Arts University,2022,0
Leeds Beckett University,2015,2701
Leeds Beckett University,2018,3224
Leeds Beckett University,2016,3361
Leeds Beckett University,2017,3660
Leeds Beckett University,2019,3711
Leeds Beckett University,2020,4202
Leeds Beckett University,2021,4480
Leeds Beckett University,2022,5853
Leeds Conservatoire,2018,0
Leeds Conservatoire,2019,0
Leeds Conservatoire,2020,0
Leeds Conservatoire,2021,0
Leeds Conservatoire,2022,0
Leeds Conservatoire,2017,98
Leeds Trinity University,2017,16
Leeds Trinity University,2021,38
Leeds Trinity University,2020,45
Leeds Trinity University,2019,51
Leeds Trinity University,2015,53
Leeds Trinity University,2018,58
Leeds Trinity University,2016,66
Leeds Trinity University,2022,103
LIBF Limited,2023,0
Liverpool Hope University,2021,103
Liverpool Hope University,2015,196
Liverpool Hope University,2022,203
Liverpool Hope University,2019,257
Liverpool Hope University,2020,265
Liverpool Hope University,2016,311
Liverpool Hope University,2017,438
Liverpool Hope University,2018,487
Liverpool John Moores University,2017,8843
Liverpool John Moores University,2016,9194
Liverpool John Moores University,2018,9544
Liverpool John Moores University,2015,9895
Liverpool John Moores University,2019,10019
Liverpool John Moores University,2021,12501
Liverpool John Moores University,2022,13474
Liverpool John Moores University,2020,13917
Liverpool School of Tropical Medicine,2015,44921
Liverpool School of Tropical Medicine,2016,76308
Liverpool School of Tropical Medicine,2017,76835
Liverpool School of Tropical Medicine,2019,78274
Liverpool School of Tropical Medicine,2018,80996
Liverpool School of Tropical Medicine,2020,99175
Liverpool School of Tropical Medicine,2021,104499
Liverpool School of Tropical Medicine,2022,115050
LMA,2021,0
LMA,2022,0
London Bridge Business Academy,2018,0
London Bridge Business Academy,2019,0
London Bridge Business Academy,2020,0
London Bridge Business Academy,2021,0
London Bridge Business Academy,2022,0
London Bridge Business Academy,2023,0
London Business School,2022,1005
London Business School,2021,1634
London Business School,2015,1685
London Business School,2018,1879
London Business School,2017,1888
London Business School,2016,2048
London Business School,2019,2250
London Business School,2020,2436
London Churchill College Ltd,2020,0
London Churchill College Ltd,2021,0
London Churchill College Ltd,2022,0
London Churchill College Ltd,2023,0
London College of Business Studies,2021,0
London College of Business Studies,2022,0
London Film School Limited,2018,0
London Film School Limited,2019,0
London Film School Limited,2020,0
London Film School Limited,2021,0
London Film School Limited,2022,0
London Film School Limited,2023,0
London Metropolitan University,2017,249
London Metropolitan University,2020,312
London Metropolitan University,2019,441
London Metropolitan University,2018,459
London Metropolitan University,2016,714
London Metropolitan University,2022,754
London Metropolitan University,2021,936
London Metropolitan University,2015,1174
London School of Academics Ltd,2017,0
London School of Academics Ltd,2018,0
London School of Academics Ltd,2019,0
London School of Academics Ltd,2020,0
London School of Academics Ltd,2021,0
London School of Academics Ltd,2022,0
London School of Academics Ltd,2023,0
London School of Commerce & IT Limited,2017,0
London School of Commerce & IT Limited,2018,0
London School of Commerce & IT Limited,2019,0
London School of Commerce & IT Limited,2020,0
London School of Commerce & IT Limited,2021,0
London School of Commerce & IT Limited,2022,0
London School of Commerce & IT Limited,2023,0
London School of Economics and Political Science,2015,31503
London School of Economics and Political Science,2016,32113
London School of Economics and Political Science,2017,32903
London School of Economics and Political Science,2018,33267
London School of Economics and Political Science,2019,34246
London School of Economics and Political Science,2020,34932
London School of Economics and Political Science,2021,36886
London School of Economics and Political Science,2022,40599
London School of Hygiene and Tropical Medicine,2015,110104
London School of Hygiene and Tropical Medicine,2016,122433
London School of Hygiene and Tropical Medicine,2017,140577
London School of Hygiene and Tropical Medicine,2018,167567
London School of Hygiene and Tropical Medicine,2020,167569
London School of Hygiene and Tropical Medicine,2019,168450
London School of Hygiene and Tropical Medicine,2021,175341
London School of Hygiene and Tropical Medicine,2022,186513
London School of Management Education,2018,0
London School of Management Education,2019,0
London School of Management Education,2020,0
London School of Management Education,2021,0
London School of Management Education,2022,0
London School of Management Education,2023,0
London School of Science and Technology Limited,2021,0
London School of Science and Technology Limited,2022,0
London School of Theology,2018,0
London School of Theology,2019,0
London School of Theology,2020,0
London School of Theology,2021,0
London School of Theology,2022,0
London School of Theology,2023,0
London South Bank University,2015,2232
London South Bank University,2016,3089
London South Bank University,2017,3739
London South Bank University,2018,4429
London South Bank University,2021,4585
London South Bank University,2019,5464
London South Bank University,2020,5915
London South Bank University,2022,6835
London Studio Centre,2018,0
London Studio Centre,2019,0
London Studio Centre,2020,0
London Studio Centre,2021,0
London Studio Centre,2022,0
Loughborough University,2020,35532
Loughborough University,2019,38027
Loughborough University,2018,38927
Loughborough University,2021,39181
Loughborough University,2015,40119
Loughborough University,2017,41892
Loughborough University,2016,43302
Loughborough University,2022,48269
